,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
345,677888,953,NSE_FO:BANKNIFTY12MAY2234700CE,11-05-2022 09:20,1,25,220.65,11-05-2022 15:01,0,25,169.65,1275.0,23.11,-6383.75,98.02,68616.25,-23.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,677886,953,NSE_FO:BANKNIFTY12MAY2235200CE,11-05-2022 09:20,0,25,55.7,11-05-2022 15:01,1,25,27.45,-706.25,-50.72,-7090.0,98.27,67910.0,-23.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,677883,953,NSE_FO:BANKNIFTY12MAY2234700PE,11-05-2022 09:20,1,25,271.0,11-05-2022 15:01,0,25,235.0,900.0,13.28,-6190.0,99.22,68810.0,-22.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,684496,953,NSE_FO:BANKNIFTY12MAY2233700PE,12-05-2022 09:20,0,25,31.65,12-05-2022 09:40,1,25,134.05,2560.0,323.54,-3630.0,94.87,71370.0,-20.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,684492,953,NSE_FO:BANKNIFTY12MAY2234200CE,12-05-2022 09:20,1,25,162.05,12-05-2022 09:40,0,25,99.95,1552.5,38.32,-2077.5,99.59,72922.5,-18.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,684485,953,NSE_FO:BANKNIFTY12MAY2234700CE,12-05-2022 09:20,0,25,25.55,12-05-2022 09:40,1,25,19.9,-141.25,-22.11,-2218.75,91.46,72781.25,-18.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,684480,953,NSE_FO:BANKNIFTY12MAY2234200PE,12-05-2022 09:20,1,25,170.25,12-05-2022 09:40,0,25,408.5,-5956.25,-139.94,-8175.0,91.65,66825.0,-25.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,685247,953,NSE_FO:BANKNIFTY19MAY2233300PE,13-05-2022 09:20,0,25,286.8,13-05-2022 15:01,1,25,466.5,4492.5,62.66,-3682.5,94.79,71317.5,-20.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,685245,953,NSE_FO:BANKNIFTY19MAY2233800CE,13-05-2022 09:20,1,25,487.1,13-05-2022 15:01,0,25,218.4,6717.5,55.16,3035.0,103.83,78035.0,-12.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,685241,953,NSE_FO:BANKNIFTY19MAY2234300CE,13-05-2022 09:20,0,25,272.3,13-05-2022 15:01,1,25,98.85,-4336.25,-63.7,-1301.25,88.8,73698.75,-17.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
